,songs,Lyrics
27,Here,"You take a week, all the time that you need Shattering glass and a lover or three Oh, baby, you're so independent You're on the drug of a Gemini cusp Turn it up louder, spit on that cut Oh, I won't keep you out of trouble Take it from me (I do the best that I can) Take it from me (love like it always goes bad) Take it from me (take back the life that you gave to me)  I'm not here Oh, I'm not here I'm not here Oh, I'm not here"
28,Howl,"It seems, it seems mighty treacherous A superstition leads me Maybe, maybe it's getting dangerous I'm counting symbols: one, two, three  Something in the water Is it me that's going under? I'm shaking Psychic kind of power Now's the time, and now's the hour of making Ooh  So help me God Where am I now? (I'm afraid, I'm afraid in the future crowd) I cut my hair I shot them down (I'm awake, I'm awake, I'm dreaming) Can you hear, can you hear, can you hear me howl? (Say, can you hear me?) Can you hear, can you hear, can you hear me howl (howl)? (Say, can you hear me howl?)  I was, I was young and untamed Dancing like my mother I pray, I pray we will be safe Though we may uncover  Something in the water I can't help, I'm going under Oh, save me Psychic kind of power It's my time, and it's my hour of making Ooh  So help me God Where am I now? (I'm afraid, I'm afraid in the future crowd) I cut my hair I shot them down (I'm awake, I'm awake, I'm dreaming) Can you hear, can you hear, can you hear me howl? (Say, can you hear me?) Can you hear, can you hear, can you hear me howl (howl)? (Say, can you hear me howl?)  Standing in front of the hungriest crowd Nothing will stop me from screaming out loud I am the wolf and the enemy now Say, can you hear me, ooh? Ooh, ooh No, no, no  So help me God Where am I now? (I'm afraid, I'm afraid in the future crowd) I cut my hair I shot them down (I'm awake, I'm awake, I'm dreaming) Can you hear, can you hear, can you hear me howl? (Say, can you hear me?) Can you hear, can you hear, can you hear me howl (howl)? (Say, can you hear me howl?)  Say, can you hear me? Say, can you hear me howl?"
29,Don't Panic,"Cold sweat, I'm at the edge Boy, what's your problem? Dizzy from falling, delirious I choke, don't let it show They'd call it weakness Sadness is secret, 'cause boys don't cry  And I can't sleep, no dreaming My heart accelerates A thousand words are screaming I can't communicate (Hey) I gotta beat this feeling My body won't obey Breathe or you're going to fade  Don't panic I'm gonna stand my ground (Don't panic) Nothing'll pull me down (Don't panic) I'm gonna be the one (Don't panic) Nothing I won't overcome (Don't panic) I'm gonna stand my ground (Don't panic) Nothing'll pull me down I can't keep hold of, control of my spirit now  (Don't panic)  Chest tight, lights too bright Smile for the picture Crack in the mirror An eye for an eye Too loud, thundering sound Keep it all silent Nobody likes it to fuel your pain  And I can't sleep, no dreaming My heart accelerates A thousand words are screaming I can't communicate (Hey) I gotta beat this feeling My body won't obey Breathe or you're going to fade  Don't panic I'm gonna stand my ground (Don't panic) Nothing'll pull me down (Don't panic) I'm gonna be the one (Don't panic) Nothing I won't overcome (Don't panic) I'm gonna stand my ground (Don't panic) Nothing'll pull me down I can't keep hold of, control of my spirit now (Don't panic)  (Don't panic, don't panic) (Don't panic, don't panic)  (Emotion) Keeps troubling me (Cold body) Hard anxiety (Deep water) Shore to shore, I swim Have no hesitation Oh, no  Don't panic I'm gonna stand my ground (Don't panic) Nothing'll pull me down (Don't panic) I'm gonna be the one (Don't panic) Nothing I won't overcome (Don't panic) I'm gonna stand my ground (Don't panic) Nothing'll pull me down I can't keep hold of, control of my spirit now (Don't panic) I'm gonna stand my ground (Don't panic) Nothing'll pull me down (Don't panic) I'm gonna be the one (Don't panic) Nothing I won't overcome (Don't panic) I'm gonna stand my ground (Don't panic) Nothing'll pull me down I can't keep hold of, control of my spirit now (Don't panic)"
30,Up In Flames,"I'm touching a secret He's asking forgiveness Tell me your pain Is it haunting you now? 14 years and it's crumbling down You gotta be strong boy You gotta be tough Don't you know you're a man? Anyone could have played ya Weakness won't be your saviour  They said it's innocence Cast out the devil sins Don't wanna come between you and her, keep arguing I'll remember everything, I  I dreamed of a life so big and tall An escape from who I was And our past is going up in flames And the future can be rearranged Oh And we're dancing to the sound Of your demons falling down And our past is going up in flames (flames) And the future will be rearranged  She's got a new life, you know She's happier but she wonders, what now? Is all of this pain what I wanted? The branches of me are distorted  They said it's innocence Cast out the devil sins Don't wanna come between you and her, keep arguing I'll remember everything, I  I dreamed of a life so big and tall An escape from who I was And our past is going up in flames And the future can be rearranged Oh And we're dancing to the sound Of your demons falling down And our past is going up in flames And the future will be rearranged  I dreamed of a life so big and tall An escape from who I was And our past is going up in flames And the future can be rearranged Oh And we're dancing to the sound Of your demons falling down And our past is going up in flames And the future will be rearranged"
31,Coyote,
32,Play,
33,Valentino,"I think I must have met him yesterday He waltzed in from the Outskirts of east L.A  He seems to be the name On everybody's lips So I told myself I wouldn't fall for it But then  Quicker than a flash, He had me at hello He took me by the hand, We started dancing slow I didn't wanna get attached but now, I'm far too close And he knows just what he's doing  I didn't know, when I met Valentino I was giving him control over me Now I'm stuck in his melody Let me go, let me go Valentino You're not getting anymore out of me I don't want your cruel melody  He knew what to say To sweep me off my feet I should've never heard A word he said to me I was comfortable With ignorance is bliss 'Cause I told myself I wouldn't fall for it But then  Quicker than a flash, He had me at hello He took me by the hand, We started dancing slow I didn't wanna get attached but now, I'm far too close And he knows just what he's doing  I didn't know when I met Valentino I was giving him control over me Now I'm stuck in his melody Let me go, let me go Valentino You're not getting anymore out of me I don't want your cruel melody (I don't want your cruel melody)  I should have known not to trust Valentino I should have known not to trust Valentino Tonight I'm saying goodbye Valentino We know just what you're doing  I didn't know when I met Valentino I was giving him control over me Now I'm stuck in his melody Let me go, let me go Valentino You're not getting anymore out of me I don't want your cruel melody  I should have known not to trust Valentino I should have known not to trust Valentino  Let me go, let me go Valentino You're not getting anymore out of me I don't want your cruel melody"
34,American Boy,
35,Come Alive,
36,DNA,
37,I Wish I Knew,
38,Lion,
39,Meteorite,"I don't know how it led to this I felt a tremor in your kiss Earth shakes, and I answer it My body realigns It's too much, I cannot handle this I taste, the pleasure on your lips You make, planets start to spin I'm ready to ignite  Let me feel your devotion Let me feel your emotion Love me like it's the last night Like it's the last night  Hit me like a meteorite, whoa Hit me like a meteorite, oh Hit me like a meteorite Don't let me go Don't let me go  You've been, following the rush I've sinned, but I keep it hush You're near, but it's not enough I need this to survive Reckless, what I'm heading for Lights flash, and I hear a roar One touch and you're so powerful You're burning through the night  Let me feel your devotion Let me feel your emotion Love me like it's the last night Like it's the last night  Hit me like a meteorite, whoa Hit me like a meteorite, oh Hit me like a meteorite Don't let me go Don't let me go I can feel it coming tonight Don't let me go Don't let me go  Our path turned to stone Everything's falling In silver and gold, Colour's are warning And I see it, gold When I look to the sky I want it all tonight, I want it all tonight  Hit me like a meteorite, whoa Hit me like a meteorite, oh Hit me like a meteorite Don't let me go Don't let me go I can feel it coming tonight Don't let me go Don't let me go"
40,See Me Now,
41,The Whale,
42,Traps,"I was a ghost, I was adored by you. I trapped an owl, I shot a hare for you.  Can I ignite? Can I burn like never before? What you desire it's inside of me I am sure.  My intentions were good, my intentions were good.  I am the garden, I am the sea, will you lay a trap for me? I am the garden, I am the sea, will you lay a trap for me?  I gave you words, I planted trees by your bed. You said you loved me, You said you'd have me instead.  Can I ignite? Can I burn like never before? What you desire it's inside of me that I'm sure.  My intentions were good. My intentions were good.  You hold me down in the night we tear ourselves apart You hold me down, I know a place, do you wanna start?  I am the garden, I am the sea, will you lay a trap for me? I am the garden, I am the sea, will you lay a trap for me?  Ohohohohohoh whoa oh The sound of fear Ohohohohohoh whoa oh The sound of fear  Don't let the story down ooh Don't let the story down ooh Don't let the story down ooh"
43,You & I,"Hide, hide, hiding, I know where you are Touch, touch, touching the roof of my mouth See monsters, I see dreams, I know what I've got inside of me  And I know the perfect release, give it to me please   You and I, you and I, I'll follow you  You and I, you and I, I'll follow you  You and I, you and I, we're giving up sounds  You and I, you and I, I follow you You and I, you and I, I follow you You and I, you and I, we're giving up sounds  Hearing the heartbeat   You and I, you and I, I follow you You and I, you and I, I follow you You and I, you and I, I follow you, we're giving up sounds  You and I, you and I, I follow you You and I, you and I, I follow you You and I, you and I, I follow you, we're giving up sounds Hearing the heartbeat  Take me to a place when you will never lie, would you like it?  Would you like me to go?  You never said"
